Japanese Role,Japanese Name,Role,Name
企画,高森富夫,Planning,Takamori Tomio
,財前定生,,Zaizen Sadao
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,星川清司,Screenplay,Hoshikawa Seiji
,吉田哲郎,,Yoshida Tetsurō
,松村正温,,Matsumura Masaatsu
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大谷巌,Recording,Ōtani Iwao
照明,山下礼二郎,Lighting,Yamashita Reijirō
美術,内藤昭,Art,Naitō Akira
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,菅沼完二,Editing,Suganuma Kanji
装置,伊藤万次郎,Apparatus,Itō Manjirō
擬斗,宮内昌平,Action,Miyauchi Shōhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
助監督,友枝稔議,Assistant Director,Tomoeda Minoru
製作主任,今村喬,Production Manager,Imamura Takashi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,高千穂ひづる,,Takachiho Hizuru
,金子信雄,,Kaneko Nobuo
,加藤嘉,,Katō Yoshi
,石黒達也,,Ishiguro Tatsuya
,,,
,北城寿太郎,,Hōjō Jutarō
,藤山浩二,,Fujiyama Kōji
,天王寺虎之助,,Ten’nōji Toranosuke
,毛利郁子,,Mōri Ikuko
,川口のぶ,,Kawaguchi Nobu
,近江輝子,,Ōmi Teruko
,,,
,伊達三郎,,Date Saburō
,南條新太郎,,Nanjō Shintarō
,浅尾奥山,,Asao Okuyama
,南部彰三,,Nanbu Shōzō
,橋本力,,Hashimoto Riki
,石原須磨男,,Ishihara Sumao
,木村玄,,Kimura Gen
,杉山昌三九,,Sugiyama Shōsaku
,,,
,玉置一恵,,Tamaki Kazue
,沖時男,,Oki Tokio
,堀北幸夫,,Horikita Yukio
,越川一,,Koshikawa Ichi
,山岡鋭二郎,,Yamaoka Eijirō
,千石泰三,,Sengoku Taizō
,愛原光一,,Aihara Kōichi
,黒木英男,,Kuroki Hideo
,原田清子,,Harada Kiyoko
,藤川準,,Fujikawa Jun
,,,
監督,三隅研次,Director,Misumi Kenji
