Japanese Role,Japanese Name,Role,Name
企画,斉藤米二郎,Planning,Saitō Yonejirō
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,宗川信夫,Photography,Munekawa Nobuo
録音,渡辺利一,Recording,Watanabe Toshikazu
照明,伊藤幸夫,Lighting,Itō Yukio
美術,井上章,Art,Inoue Akira
,,,
音楽,山内正,Music,Yamanouchi Tadashi
編集,中静達治,Editing,Nakashizuka Tatsuji
助監督,阿部志馬,Assistant Director,Abe Shima
製作主任,上嶋博明,Production Manager,Ueshima Hiroaki
,,,
特殊撮影,築地米三郎,Special Photography,Tsukiji Yonesaburō
特撮美術,井上章,Special Effects Art,Inoue Akira
合成,藤井和文,Composition,Fujii Kazufumi
照明,石坂守,Lighting,Ishizaka Mamoru
助監督,石田潔,Assistant Director,Ishida Kiyoshi
製作主任,川村清,Production Manager,Kawamura Kiyoshi
,,,
出演者,,Performers,
,,,
,船越英二,,Funakoshi Eiji
,山下洵一郎,,Yamashita Jun’ichirō
,姿美千子,,Sugata Michiko
,霧立はるみ,,Kiritachi Harumi
,,,
,北原義郎,,Kitahara Yoshirō
,左卜全,,Hidari Bokuzen
,浜村純,,Hamamura Jun
,北城寿太郎,,Hōjō Jutarō
,吉田義夫,,Yoshida Yoshio
,大山健二,,Ōyama Kenji
,小山内淳,,Osanai Jun
,藤山浩二,,Fujiyama Kōji
,大橋一元,,Ōhashi Ichigen
,,,
,髙田宗彦,,Takada Munehiko
,谷謙一,,Tani Ken’ichi
,中田勉,,Nakata Tsutomu
,森矢雄二,,Moriya Yūji
,丸山修,,Maruyama Osamu
,内田喜郎（ひまわり）,,Uchida Yoshirō (Himawari)
,槙俊夫,,Maki Toshio
,隅田一男,,Sumida Kazuo
,杉森麟,,Sugimori Rin
,村田扶美子,,Murata Fumiko
,,,
,竹内哲郎,,Takeuchi Tetsurō
,志保京助,,Shiho Kyōsuke
,中原健,,Nakahara Ken
,森一夫,,Mori Kazuo
,佐山真次,,Sayama Shinji
,喜多大八,,Kita Daihachi
,大庭健二,,Ōba Kenji
,荒木康夫,,Araki Yasuo
,井上大吾,,Inoue Daigo
,三夏伸,,Minatsu Shin
,,,
,清水昭,,Shimizu Akira
,松山新一,,Matsuyama Shin’ichi
,岡郁二,,Oka Ikuji
,藤井竜史,,Fujii Ryūji
,山根圭一郎,,Yamane Keiichirō
,村松若代,,Muramatsu Wakashiro
,甲千鶴,,Kinoe Chizuru
,沖良子,,Oki Ryōko
,,,
,後藤武彦,,Gotō Takehiko
,加川東一郎,,Kagawa Tōichirō
,伊勢一郎,,Ise Ichirō
,佐原新治,,Sahara Shinji
,宗近一,,Munechika Hajime
,劇団ひまわり,,Himawari Theater Company
,Ｍ・アパナイ,,M. Apanai
,リッチャードソン,,Richardson
,ストレイハン,,Streihan
,ランソン,,Ranson
,ブラウン,,Brown
,ハートマン,,Hartman
,,,
監督,湯浅憲明,Director,Yuasa Noriaki
