Japanese Role,Japanese Name,Role,Name
製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,小島正七,Lighting,Kojima Shōshichi
,,,
音楽,伊福部昭,Music,Ifukube Akira
挿入歌,『幸せを呼ぼう』,Insert Song,“Call Happiness”
作詞,岩谷時子,Lyrics,Iwatani Tokiko
作曲,宮川泰,Composition,Miyagawa Hiroshi
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,佐野健,Assistant Director,Sano Ken
編集,藤井良平,Editing,Fujii Ryōhei
音響効果,知久長,Sound Effects,Tomohisa Chō
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Nakamura Shigeru
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirō
合成,向山宏,Composition,Mukōyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
出演者,,Performers,
,,,
,夏木陽介,,Natsuki Yōsuke
,星由里子,,Hoshi Yuriko
,,,
,小泉博,,Koizumi Hiroshi
,志村喬,,Shimura Takashi
ザ・ピーナッツ,伊藤エミ,The Peanuts,Itō Emi
,伊藤ユミ,,Itō Yumi
,若林映子,,Wakabayashi Akiko
,,,
,伊藤久哉,,Itō Hisaya
,黒部進,,Kurobe Susumu
,平田昭彦,,Hirata Akihiko
,佐原健二,,Sahara Kenji
,伊吹徹,,Ibuki Tōru
,野村浩三,,Nomura Kōzō
,,,
,田島義文,,Tajima Yoshibumi
,天本英世,,Amamoto Hideyo
,小杉義男,,Kosugi Yoshio
,高田稔,,Takada Minoru
,英百合子,,Hanabusa Yuriko
,加藤春哉,,Katō Haruya
,沢村いき雄,,Sawamura Ikio
,富田仲次郎,,Tomita Nakajirō
,,,
,石田茂樹,,Ishida Shigeki
,大友伸,,Ōtomo Shin
,中山豊,,Nakayama Yutaka
,大村千吉,,Ōmura Senkichi
,松本染升,,Matsumoto Someshō
,鈴木和夫,,Suzuki Kazuo
,青空千夜,,Aozora Sen’ya
,青空一夜,,Aozora Ichiya
,広瀬正一,,Hirose Shōichi
,ヘンリー・大川,,Henry Ōkawa
,,,
,向井淳一郎,,Mukai Jun’ichirō
,古田俊彦,,Furuta Toshihiko
,池田生二,,Ikeda Seiji
,澁谷英男,,Shibuya Hideo
,勝本圭一郎,,Katsumoto Keiichirō
,手塚勝巳,,Tezuka Katsumi
,宇野晃司,,Uno Kōji
,井上大助,,Inoue Daisuke
,三浦敏男,,Miura Toshio
,浦山珠実,,Urayama Tamami
,熊谷卓三,,Kumagai Takuzō
,津田光男,,Tsuda Mitsuo
,,,
,勝部義夫,,Katsube Yoshio
,坪野鎌之,,Tsubono Kamayuki
,今井和雄,,Imai Kazuo
,門脇三郎,,Kadowaki Saburō
,越後憲三,,Echigo Kenzō
,伊原徳,,Ihara Toku
,古谷敏,,Furuya Bin
,黒木順,,Kuroki Jun
,岡豊,,Oka Yutaka
,中島春雄,,Nakajima Haruo
,宇畄木耕嗣,,Uruki Kōji
,坂本晴哉,,Sakamoto Haruya
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirō
