Japanese Role,Japanese Name,Role,Name
製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,海上日出男,Original Work,Unagami Hideo
脚本,木村武,Screenplay,Kimura Takeshi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,三上長七郎,Recording,Mikami Chōshichirō
,宮崎正信,,Miyazaki Masanobu
照明,西川鶴三,Lighting,Nishikawa Tsuruzō
音楽,佐藤勝,Music,Satō Masaru
,,,
特殊技術,,Special Technology,
撮影,荒木秀三郎,Photography,Araki Hidesaburō
,有川貞昌,,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,城田正雄,Lighting,Shirota Masao
合成,向山宏,Composition,Mukōyama Hiroshi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kōji
編集,平一二,Editing,Taira Kazuji
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,眞木照夫,Production Manager,Maki Teruo
,,,
出演者,,Performers,
,,,
,白川由美,,Shirakawa Yumi
,佐原健二,,Sahara Kenji
,,,
,平田昭彦,,Hirata Akihiko
,小沢栄太郎,,Ozawa Eitarō
,千田是也,,Senda Koreya
,佐藤允,,Satō Makoto
,,,
,伊藤久哉,,Itō Hisaya
,北川町子,,Kitagawa Machiko
,土屋嘉男,,Tsuchiya Yoshio
,白石奈緒美,,Shiraishi Naomi
,三島耕,,Mishima Kō
,,,
,田島義文,,Tajima Yoshibumi
,中村哲,,Nakamura Tetsu
,加藤春哉,,Katō Haruya
,大村千吉,,Ōmura Senkichi
,園田あゆみ,,Sonoda Ayumi
,林幹,,Hayashi Kan
,山田巳之助,,Yamada Minosuke
,藤尾純,,Fujio Jun
,,,
,山本廉,,Yamamoto Ren
,瀬良明,,Sera Akira
,中丸忠雄,,Nakamaru Tadao
,夏木陽介,,Natsuki Yōsuke
,家田佳子,,Ieda Yoshiko
,重信安宏,,Shigenobu Yasuhiro
,山田彰,,Yamada Akira
,桐野洋雄,,Kirino Nadao
,佐田豊,,Sada Yutaka
,大友伸,,Ōtomo Shin
,,,
,生方壮児,,Ubukata Sōji
,津田光男,,Tsuda Mitsuo
,中山豊,,Nakayama Yutaka
,坪野鎌之,,Tsubono Kamayuki
,加藤茂雄,,Katō Shigeo
,岡豊,,Oka Yutaka
,広瀬正一,,Hirose Shōichi
,熊谷二良,,Kumagai Jirō
,草間璋夫,,Kusama Akio
,土屋詩朗,,Tsuchiya Shirō
,手塚勝巳,,Tezuka Katsumi
,中島春雄,,Nakajima Haruo
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirō
