Japanese Role,Japanese Name,Role,Name
製作,藤本真澄,Producer,Fujimoto Sanezumi
,田中友幸,,Tanaka Tomoyuki
,,,
脚本,八住利雄,Screenplay,Yasumi Toshio
,木村武,,Kimura Takeshi
,,,
撮影,西垣六郎,Photography,Nishigaki Rokurō
美術,北猛夫,Art,Kita Takeo
,安倍輝明,,Abe Teruaki
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,森弘充,Lighting,Mori Hiromitsu
音楽,團伊玖磨,Music,Dan Ikuma
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,田実泰良,Assistant Director,Tajitsu Yasuyoshi
編集,岩下広一,Editing,Iwashita Hirokazu
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,森本朴,Production Manager,Morimoto Paku
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
光学撮影,幸隆生,Optical Photography,Miyuki Takao
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirō
合成,向山宏,Composition,Mukōyama Hiroshi
製作担当者,成田貫,Production Manager,Narita Kan
,,,
出演者,,Performers,
,,,
,フランキー堺,,Frankie Sakai
,宝田明,,Takarada Akira
,,,
,星由里子,,Hoshi Yuriko
,乙羽信子,,Otowa Nobuko
,白川由美,,Shirakawa Yumi
,,,
,笠智衆,,Ryū Chishū
,ジェリー伊藤,,Jerry Itō
,東野英治郎,,Tōno Eijirō
,山村聡,,Yamamura Sō
,,,
,上原謙,,Uehara Ken
,河津清三郎,,Kawazu Seizaburō
,中村伸郎,,Nakamura Nobuo
,中北千枝子,,Nakakita Chieko
,,,
,高田稔,,Takada Minoru
,石田茂樹,,Ishida Shigeki
,坂部尚子,,Sakabe Naoko
,野村浩三,,Nomura Kōzō
,織田政雄,,Oda Masao
,,,
,佐田豊,,Sada Yutaka
,桐野洋雄,,Kirino Nadao
,宇野晃司,,Uno Kōji
,吉田静司,,Yoshida Seiji
,古田俊彦,,Furuta Toshihiko
,森今日子,,Mori Kyōko
,三田照子,,Mita Teruko
,熊谷二良,,Kumagai Jirō
,生方壮児,,Ubukata Sōji
,土屋詩朗,,Tsuchiya Shirō
,勝本圭一郎,,Katsumoto Keiichirō
,,,
,草川直也,,Kusakawa Naoya
,大前亘,,Ōmae Wataru
,勝部義夫,,Katsube Yoshio
,篠原正記,,Shinohara Masaki
,岡豊,,Oka Yutaka
,宇畄木耕嗣,,Uruki Kōji
,阿部浩司,,Abe Kōji
,富永裕子,,Tominaga Yūko
,清水由記,,Shimizu Yuki
,一万慈鶴恵,,Ichimanji Tsurue
,中野トシ子,,Nakano Toshiko
,穂高あさみ,,Hodaka Asami
,,,
,ハワード・ラルソン,,Howard Larsen
,エド・キーン,,Ed Keane
,ベルナール・バーレ,,Bernard Ball
,クリフォード・ハーリントン,,Clifford Harrington
,ハンク・ブラウン,,HankBrown
,ダニエル・ジョーンズ,,Daniel Jones
,ベン・グリーンハウ,,Ben Greenhaw
,マイク・スネープ,,Mike Snep
,ロイ・レサード,,Roy Lesard
,ハンス・ホルネフ,,Hans Hornef
,ハロルド・コンウェイ,,Harold Conway
,オスマン・ユセフ,,Osman Yusuf
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,松林宗恵,Director,Matsubayashi Shūe
