Japanese Role,Japanese Name,Role,Name
製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,小島正七,Lighting,Kojima Shōshichi
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kōji
編集,藤井良平,Editing,Fujii Ryōhei
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,森本朴,Production Manager,Morimoto Paku
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirō
合成,向山宏,Composition,Mukōyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
出演者,,Performers,
,,,
,宝田明,,Takarada Akira
,星由里子,,Hoshi Yuriko
,,,
,小泉博,,Koizumi Hiroshi
,藤木悠,,Fujiki Yū
,佐原健二,,Sahara Kenji
ザ・ピーナッツ,伊藤エミ,The Peanuts,Itō Emi
,伊藤ユミ,,Itō Yumi
,,,
,田崎潤,,Tazaki Jun
,田島義文,,Tajima Yoshibumi
,田武謙三,,Tabu Kenzō
,佐田豊,,Sada Yutaka
,谷晃,,Tani Akira
,藤田進,,Fujita Susumu
,,,
,沢村いき雄,,Sawamura Ikio
,山本廉,,Yamamoto Ren
,野村浩三,,Nomura Kōzō
,堤康久,,Tsutsumi Yasuhisa
,津田光男,,Tsuda Mitsuo
,大友伸,,Ōtomo Shin
,大村千吉,,Ōmura Senkichi
,小杉義男,,Kosugi Yoshio
,,,
,八代美紀,,Yashiro Miki
,岩本弘司,,Iwamoto Kōji
,丘照美,,Oka Terumi
,大前亘,,Ōmae Wataru
,土屋詩朗,,Tsuchiya Shirō
,熊谷卓三,,Kumagai Takuzō
,宇野晃司,,Uno Kōji
,中山豊,,Nakayama Yutaka
,古田俊彦,,Furuta Toshihiko
,,,
,澁谷英男,,Shibuya Hideo
,宇留木耕嗣,,Uruki Kōji
,越後憲三,,Echigo Kenzō
,権藤幸彦,,Gondō Yukihiko
,佐藤功一,,Satō Kōichi
,安芸津広,,Akitsu Hiroshi
,岡部正,,Okabe Tadashi
,坂本晴哉,,Sakamoto Haruya
,久野征四郎,,Kuno Seishirō
,高木弘,,Takagi Hiroshi
,,,
,山田圭介,,Yamada Keisuke
,広田新二郎,,Hirota Shinjirō
,砂川繁視,,Sunakawa Shigemi
,川村郁夫,,Kawamura Ikuo
,緒方燐作,,Ogata Rinsaku
,鈴木治夫,,Suzuki Haruo
,劇団・あすなろ,,Gekidan Asunaro
,手塚勝巳,,Tezuka Katsumi
,中島春雄,,Nakajima Haruo
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirō
