Japanese Role,Japanese Name,Role,Name
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大谷巌,Recording,Ōtani Iwao
照明,加藤博也,Lighting,Katō Hiroya
美術,内藤昭,Art,Naitō Akira
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,菅沼完二,Editing,Suganuma Kanji
装置,梶谷和男,Apparatus,Kajitani Kazuo
擬斗,宮内昌平,Action,Miyauchi Shōhei
邦楽,中本敏生,Traditional Music,Nakamoto Toshio
助監督,国原俊明,Assistant Director,Kunihara Toshiaki
製作主任,田辺満,Production Manager,Tanabe Mitsuru
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,万里昌代,,Banri Masayo
,,,
,島田竜三,,Shimada Ryūzō
,三田村元,,Mitamura Gen
,天知茂,,Amachi Shigeru
,南道郎,,Minami Michirō
,柳永二郎,,Yanagi Eijirō
,,,
,千葉敏郎,,Chiba Toshio
,守田学,,Morita Gaku
,山路義人,,Yamaji Yoshito
,舟木洋一,,Funaki Yōichi
,尾上栄五郎,,Onoe Eigorō
,毛利郁子,,Mōri Ikuko
,真城千都世,,Maki Chitose
,,,
,市川謹也,,Ichikawa Kin’ya
,藤川準,,Fujikawa Jun
,堀北幸夫,,Horikita Yukio
,浜田雄史,,Hamada Yūji
,丸凡太,,Maru Bonta
,木村玄,,Kimura Gen
,福井隆次,,Fukui Ryūji
,越川一,,Koshikawa Ichi
,西岡弘善,,Nishioka Hiroyoshi
,小林加奈枝,,Kobayashi Kanae
,,,
,志賀明,,Shiga Akira
,愛原光一,,Aihara Kōichi
,谷口昇,,Taniguchi Noboru
,細谷新吾,,Hosoya Shingo
,千石泰三,,Sengoku Taizō
,長岡三郎,,Nagaoka Saburō
,馬場勝義,,Baba Katsuyoshi
,結城要,,Yūki Kaname
,寺村孝,,Teramura Takashi
,淡波圭子,,Awanami Keiko
,,,
監督,三隅研次,Director,Misumi Kenji
