Japanese Role,Japanese Name,Role,Name
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,本多省三,Photography,Honda Shōzō
録音,林土太郎,Recording,Hayashi Tsuchitarō
照明,伊藤貞一,Lighting,Itō Teiichi
美術,太田誠一,Art,Ōta Seiichi
音楽,斎藤一郎,Music,Saitō Ichirō
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,城修,Apparatus,Jō Osamu
擬斗,宮内昌平,Action,Miyauchi Shōhei
助監督,井上昭,Assistant Director,Inoue Akira
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
製作主任,大菅実,Production Manager,Ōsuga Minoru
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,城健三朗,,Jō Kenzaburō
,,,
,水谷良重,,Mizutani Yoshie
,万里昌代,,Banri Masayo
,中村豊,,Nakamura Yutaka
,柳永二郎,,Yanagi Eijirō
,,,
,沢村宗之助,,Sawamura Sōnosuke
,山路義人,,Yamaji Yoshito
,浅尾奥山,,Asao Okuyama
,春本富士夫,,Harumoto Fujio
,杉山昌三九,,Sugiyama Shōsaku
,南條新太郎,,Nanjō Shintarō
,南部彰三,,Nanbu Shōzō
,嵐三右ヱ門,,Arashi Tamiemon
,,,
,水原浩一,,Mizuhara Kōichi
,伊達三郎,,Date Saburō
,高倉一郎,,Takakura Ichirō
,玉置一恵,,Tamaki Kazue
,芝田総二,,Shibata Sōji
,沖時男,,Oki Tokio
,浜田雄史,,Hamada Yūji
,若杉曜子,,Wakasugi Yōko
,井上明子,,Inoue Akiko
,,,
,横山文彦,,Yokoyama Fumihiko
,春日清,,Kasuga Kiyoshi
,愛原光一,,Aihara Kōichi
,木村玄,,Kimura Gen
,千石泰三,,Sengoku Taizō
,志賀明,,Shiga Akira
,若原進,,Wakahara Susumu
,福井隆次,,Fukui Ryūji
,大杉潤,,Ōsugi Jun
,,,
,大林一夫,,Ōbayashi Kazuo
,薮内武司,,Yabuuchi Takeshi
,竹谷俊彦,,Takeya Toshihiko
,森田健二,,Morita Kenji
,長岡三郎,,Nagaoka Saburō
,馬場勝義,,Baba Katsuyoshi
,森内一夫,,Moriuchi Kazuo
,有村淳,,Arimura Jun
,寺村孝,,Teramura Takashi
,,,
監督,森一生,Director,Mori Kazuo
