Japanese Role,Japanese Name,Role,Name
,松竹株式会社,,"Shochiku Co., Ltd."
,さむらいプロダクション,,Samurai Productions
,提携作品,,Co-Production
,,,
製作,岸本吟一,Producer,Kishimoto Gin’ichi
,丹波哲郎（さむらいプロ）,,Tamba Tetsurō (Samurai Pro)
,,,
企画,さむらいプロ,Planning,Samurai Pro
,フジテレビ,,Fuji TV
,,,
脚本,阿部桂一,Screenplay,Abe Keiichi
,柴英三郎,,Shiba Eizaburō
,岸本吟一,,Kishimoto Gin’ichi
,五社英雄,,Gosha Hideo
,,,
撮影,酒井忠,Photography,Sakai Tadashi
美術,大角純一,Art,Ōsumi Jun’ichi
録音,福安賢洋,Recording,Fukuyasu Ken’yō
音楽,津島利章,Music,Tsushima Toshiaki
,,,
照明,染川広義,Lighting,Somekawa Hiroyoshi
編集,太田和夫,Editing,Ōta Kazuo
助監督,増田彬,Assistant Director,Masuda Akira
進行,内藤誠,Progression,Naitō Makoto
,,,
装置,林弘保,Apparatus,Hayashi Hiroyasu
装飾,田尻善一,Decoration,Tajiri Zen’ichi
衣裳,藤田茂,Costumes,Fujita Shigeru
技髪,村田春松,Hair Technique,Murata Harumatsu
結髪,木村よし子,Hairdressing,Kimura Yoshiko
時代考証,林悌三,Historical Research,Hayashi Teizō
殺陣,湯浅謙太郎,Swordmaster,Yuasa Kentarō
,,,
撮影助手,藤井重光,Photography Assistant,Fujii Shigemitsu
録音助手,太田弘,Recording Assistant,Ōta Hiroshi
照明助手,正堺信太郎,Lighting Assistant,Shōsakai Shintarō
編集助手,木村幸雄,Assistant Editor,Kimura Yukio
音響効果,高井唯夫,Sound Effects,Takai Tadao
,篠原利夫,,Shinohara Toshio
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演,,Appearing,
,,,
,丹波哲郎,,Tamba Tetsurō
,,,
,長門勇,,Natago Isamu
,,,
,平幹二朗 (俳優座),,Hira Mikijirō (Haiyuza)
,,,
,桑野みゆき,,Kuwano Miyuki
,香山美子,,Kayama Yoshiko
,葵京子,,Aoi Kyōko
,,,
,藤原釜足,,Fujiwara Kamatari
,石黒達也,,Ishiguro Tatsuya
,井川比佐志,,Igawa Hisashi
,伊沢一郎 ,,Izawa Ichirō
,多々良純,,Tatara Jun
,木村俊恵,,Kimura Toshie
,三原葉子,,Mihara Yōko
,,,
,上田吉二郎,,Ueda Kichijirō
,富田仲次郎,,Tomita Nakajirō
,左卜全,,Hidari Bokuzen
,永田光男,,Nagata Mitsuo
,青山宏,,Aoyama Hiroshi
,今橋恒,,Imahashi Hisashi
,梅津栄,,Umezu Sakae
,織本順吉,,Orimoto Junkichi
,青木義朗,,Aoki Yoshirō
,,,
,保科三良,,Hoshina Saburō
,大井潤,,Ōi Jun
,雲井三郎,,Kumoi Saburō
,宮沢元,,Miyazawa Gen
,森幸太郎,,Mori Kōtarō
,佐藤京一,,Satō Kyōichi
,滝恵一,,Taki Keiichi
,相原昇三郎,,Aihara Shōzaburō
,カトウハジメ,,Katō Hajime
,田村錦人,,Tamura Kinto
,,,
,南泰介,,Minami Taisuke
,滝左太郎,,Taki Sadarō
,田中謙三,,Tanaka Kenzō
,倉新八,,Kura Shinpachi
,門田高明,,Kadota Takaaki
,永井邦近,,Nagai Kunichika
,岡本忠行,,Okamoto Tadayuki
,西宮健二,,Nishimiya Kenji
,安田昌平,,Yasuda Shōhei
,松本宗四郎,,Matsumoto Sōshirō
,和歌浦糸子,,Wakaura Itoko
,,,
,笹川富士夫,,Sasagawa Fujio
,光妙寺三郎,,Kōmyōji Saburō
,鎭目勲,,Jinme Isao
,成田舟一朗,,Narita Funichirō
,蓑和田良太,,Minowada Ryōta
,曽呂勝,,So Ryoshō
,中勢謙次郎,,Nakasei Kenjirō
,大北和男,,Ōkita Kazuo
,宮城稔,,Miyagi Minoru
,浅岡譲,,Asaoka Jō
,河内麗子,,Kawachi Reiko
,,,
剣睦会,荒木肇,Swordsmanship Club,Araki Hajime
,林扇太朗,,Hayashi Sentarō
,三原博,,Mihara Hiroshi
,橋爪譲二,,Hashizume Jōji
,星野久,,Hoshino Hisa
,津々井功二,,Tsutsui Kōji
,伊達力,,Date Riki
,波戸崎徹,,Hatozaki Tōru
,津山伸一,,Tsuyama Shin’ichi
,藤沢竜二,,Fujisawa Ryūji
,,,
監督,五社英雄,Director,Gosha Hideo
