Japanese Role,Japanese Name,Role,Name
企画,浅井昭三郎,Planning,Asai Shōzaburō
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,浅井昭三郎,Screenplay,Asai Shōzaburō
,太田昭和,,Ōta Akikazu
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,大谷巌,Recording,Ōtani Iwao
照明,中岡源権,Lighting,Nakaoka Gengon
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,斎藤一郎,Music,Saitō Ichirō
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,木村重雄,Apparatus,Kimura Shigeo
擬斗,宮内昌平,Action,Miyauchi Shōhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
助監督,井上昭,Assistant Director,Inoue Akira
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,島田正吾（新国劇）,,Shimada Shōgo (New National Theater)
,坪内ミキ子,,Tsubouchi Mikiko
,長谷川待子,,Hasegawa Machiko
,城健三朗,,Jō Kenzaburō
,,,
,石黒達也,,Ishiguro Tatsuya
,片岡彦三郎,,Kataoka Hikosaburō
,丹羽又三郎,,Niwa Matasaburō
,北城寿太郎,,Hōjō Jutarō
,浅野進治郎,,Asano Shinjirō
,伊達三郎,,Date Saburō
,天王寺虎之助,,Ten’nōji Toranosuke
,植村謙二郎,,Uemura Kenjirō
,,,
,水原浩一,,Mizuhara Kōichi
,林寛,,Hayashi Hiroshi
,寺島雄作,,Terashima Yūsaku
,高倉一郎,,Takakura Ichirō
,舟木洋一,,Funaki Yōichi
,堀北幸夫,,Horikita Yukio
,岩田正,,Iwata Tadashi
,菊野昌代士,,Kikuno Masayoshi
,西岡弘善,,Nishioka Hiroyoshi
,志賀明,,Shiga Akira
,藤川準,,Fujikawa Jun
,,,
,三木正八郎,,Miki Shōhachirō
,森宏之,,Mori Hiroyuki
,滝のぼる,,Taki Noboru
,国枝勢津子,,Kunieda Setsuko
,美吉かほる,,Miyoshi Kahoru
,小林加奈枝,,Kobayashi Kanae
,千石泰三,,Sengoku Taizō
,越川一,,Koshikawa Ichi
,滝川潔,,Takigawa Kiyoshi
,森田健二,,Morita Kenji
,細谷新吾,,Hosoya Shingo
,,,
監督,池広一夫,Director,Ikehiro Kazuo
