Japanese Role,Japanese Name,Role,Name
企画,財前定生,Planning,Zaizen Sadao
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,浅井昭三郎,Screenplay,Asai Shōzaburō
,,,
撮影,今井ひろし,Photography,Imai Hiroshi
録音,林土太郎,Recording,Hayashi Tsuchitarō
照明,伊藤貞一,Lighting,Itō Teiichi
美術,太田誠一,Art,Ōta Seiichi
音楽,大森盛太郎,Music,Ōmori Seitarō
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,吉見光男,Apparatus,Yoshimi Mitsuo
擬斗,楠本栄一,Action,Kusumoto Eiichi
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
助監督,大洲斉,Assistant Director,Ōzu Hitoshi
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,藤山寛美（松竹新喜劇）,,Fujiyama Kanbi (Shochiku New Comedy)
,滝瑛子,,Taki Eiko
,明星雅子,,Akeboshi Masako
,,,
,石山健二郎,,Ishiyama Kenjirō
,島田竜三,,Shimada Ryūzō
,水原浩一,,Mizuhara Kōichi
,守田学,,Morita Gaku
,原田言玄,,Harada Gen
,村瀬幸子,,Murase Sachiko
,,,
,木村玄,,Kimura Gen
,森内一夫,,Moriuchi Kazuo
,沖時男,,Oki Tokio
,越川一,,Koshikawa Ichi
,堀北幸夫,,Horikita Yukio
,菊野昌代士,,Kikuno Masayoshi
,志賀明,,Shiga Akira
,芝田総二,,Shibata Sōji
,南部彰三,,Nanbu Shōzō
,,,
,勝村淳,,Katsumura Jun
,松田剛武,,Matsuda Taketake
,薮内武司,,Yabuuchi Takeshi
,黒木英男,,Kuroki Hideo
,伴勇太郎,,Ban Yūtarō
,花村秀樹,,Hanamura Hideki
,上坊泰三,,Jōbō Taizō
,三木本賀代,,Mikimoto Kayo
,岩村百合子,,Iwamura Yuriko
,,,
監督,森一生,Director,Mori Kazuo
