Japanese Role,Japanese Name,Role,Name
製作,勝新太郎,Producer,Katsu Shintarō
,西岡弘善,,Nishioka Hiroyoshi
,,,
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,岡本喜八,Screenplay,Okamoto Kihachi
,吉田哲郎,,Yoshida Tetsurō
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,林土太郎,Recording,Hayashi Tsuchitarō
照明,中岡源権,Lighting,Nakaoka Gengon
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
擬斗,湯浅謙太郎,Action,Yuasa Kentarō
助監督,中西忠三,Assistant Director,Nakanishi Chūzō
製作主任,眞田正典,Production Manager,Sanada Masanori
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,若尾文子,,Wakao Ayako
,,,
,滝沢修,,Takizawa Osamu
,,,
,米倉斉加年,,Yonekura Masahane
,岸田森,,Kishida Shin
,嵐寛寿郎,,Arashi Kanjūro
,,,
,神山繁,,Kōyama Shigeru
,細川俊之,,Hosokawa Toshiyuki
,寺田農,,Terada Minori
,砂塚秀夫,,Sunazuka Hideo
,草野大悟,,Kusano Daigo
,,,
,常田富士男,,Tokita Fujio
,木村元,,Kimura Gen
,田中浩,,Tanaka Hiroshi
,木村博人,,Kimura Hiroto
,五味龍太郎,,Gomi Ryūtarō
,,,
,浜田雄史,,Hamada Yūji
,越川一,,Koshikawa Ichi
,黒木現,,Kuroki Gen
,新関順司郎,,Nīzeki Junjirō
,熱田洋子,,Atsuta Yōko
,巣山プロ剣睦会,,Suyama Pro Sword Club
,,,
,三船敏郎,,Mifune Toshirō
,,,
監督,岡本喜八（東宝）,Director,Okamoto Kihachi (Toho)
