Japanese Role,Japanese Name,Role,Name
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,浅井昭三郎,,Asai Shōzaburō
,,,
撮影,竹村康和,Photography,Takemura Yasukazu
録音,大角正夫,Recording,Ōsumi Masao
照明,加藤博也,Lighting,Katō Hiroya
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,池野成,Music,Ikeno Sei
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,木村重雄,Apparatus,Kimura Shigeo
擬斗,宮内昌平,Action,Miyauchi Shōhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tōru
助監督,宮嶋八蔵,Assistant Director,Miyajima Hachikura
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarō
,,,
,久保菜穂子,,Kubo Naoko
,渚まゆみ,,Nagisa Mayumi
,,,
,五味竜太郎,,Gomi Ryūtarō
,遠藤辰雄,,Endō Tatsuo
,杉田康,,Sugita Kō
,中村豊,,Nakamura Yutaka
,左卜全,,Hidari Bokuzen
,香川良介,,Kagawa Ryōsuke
,,,
,水原浩一,,Mizuhara Kōichi
,江田島隆,,Etajima Takashi
,南條新太郎,,Nanjō Shintarō
,三角八郎,,Misumi Hachirō
,舟木洋一,,Funaki Yōichi
,毛利郁子,,Mōri Ikuko
,近江輝子,,Ōmi Teruko
,,,
,浜田雄史,,Hamada Yūji
,玉置一恵,,Tamaki Kazue
,越川一,,Koshikawa Ichi
,藤川準,,Fujikawa Jun
,沖時男,,Oki Tokio
,春日清,,Kasuga Kiyoshi
,小林加奈枝,,Kobayashi Kanae
,,,
,千石泰三,,Sengoku Taizō
,福井隆次,,Fukui Ryūji
,三浦志郎,,Miura Shirō
,愛原光一,,Aihara Kōichi
,竹谷俊彦,,Takeya Toshihiko
,薮内武司,,Yabuuchi Takeshi
,森宏之,,Mori Hiroyuki
,三木正八郎,,Miki Shōhachirō
,松田剛武,,Matsuda Taketake
,,,
監督,池広一夫,Director,Ikehiro Kazuo
